 	transcript_5p20nt_MFE
MSMEG_0139	NA
MSMEG_0140	-7.00
MSMEG_0141	NA
MSMEG_0142	0.00
MSMEG_0143	-6.10
MSMEG_0144	NA
MSMEG_0145	0.00
MSMEG_0146	-1.30
MSMEG_0147	NA
MSMEG_0148	-0.90
MSMEG_0149	NA
MSMEG_0150	NA
MSMEG_0151	NA
MSMEG_0152	-7.80
MSMEG_0153	-0.40
MSMEG_0154	NA
MSMEG_0155	-3.00
MSMEG_0156	NA
MSMEG_0157	NA
MSMEG_0158	NA
MSMEG_0159	NA
MSMEG_0160	NA
MSMEG_0161	NA
MSMEG_0162	NA
MSMEG_0163	NA
MSMEG_0164	NA
MSMEG_0165	NA
MSMEG_0166	-1.30
MSMEG_0167	0.00
MSMEG_0168	-3.50
MSMEG_0169	NA
MSMEG_0170	NA
MSMEG_0171	NA
MSMEG_0172	NA
MSMEG_0173	-1.60
MSMEG_0174	-5.00
MSMEG_0175	NA
MSMEG_0176	NA
MSMEG_0177	NA
MSMEG_0178	NA
MSMEG_0179	-2.40
MSMEG_0180	-0.80
MSMEG_0181	0.00
MSMEG_0182	NA
MSMEG_0183	NA
MSMEG_0184	NA
MSMEG_0185	NA
MSMEG_0186	0.00
MSMEG_0187	NA
MSMEG_0188	-2.20
MSMEG_0189	NA
MSMEG_0190	NA
MSMEG_0191	-6.40
MSMEG_0192	NA
MSMEG_0193	NA
MSMEG_0194	-1.90
MSMEG_0195	-0.70
MSMEG_0196	NA
MSMEG_0197	NA
MSMEG_0198	NA
MSMEG_0200	NA
MSMEG_0201	NA
MSMEG_0202	NA
MSMEG_0203	-3.60
MSMEG_0204	NA
MSMEG_0205	NA
MSMEG_0206	-0.40
MSMEG_0207	NA
MSMEG_0208	-2.20
MSMEG_0209	NA
MSMEG_0210	-3.30
MSMEG_0211	NA
MSMEG_0212	-1.40
MSMEG_0213	-2.60
MSMEG_0214	NA
MSMEG_0215	-0.40
MSMEG_0216	NA
MSMEG_0217	NA
MSMEG_0218	0.00
MSMEG_0219	NA
MSMEG_0220	NA
MSMEG_0221	NA
MSMEG_0222	0.00
MSMEG_0223	NA
MSMEG_0224	-1.00
MSMEG_0225	NA
MSMEG_0226	-3.80
MSMEG_0227	-3.40
MSMEG_0228	-1.70
MSMEG_0229	-1.40
MSMEG_0230	0.00
MSMEG_0231	-0.40
MSMEG_0232	-0.90
MSMEG_0233	-3.10
MSMEG_0234	0.00
MSMEG_0235	-1.70
MSMEG_0236	NA
MSMEG_0237	NA
MSMEG_0238	NA
MSMEG_0239	-3.50
MSMEG_0240	-0.90
MSMEG_0241	0.00
MSMEG_0242	0.00
MSMEG_0243	-6.30
MSMEG_0244	NA
MSMEG_0245	-1.90
MSMEG_0246	NA
MSMEG_0247	NA
MSMEG_0248	-6.10
MSMEG_0249	NA
MSMEG_0250	-0.60
MSMEG_0251	NA
MSMEG_0252	-1.70
MSMEG_0253	-4.00
MSMEG_0254	-6.30
MSMEG_0255	-1.80
MSMEG_0256	NA
MSMEG_0257	-1.00
MSMEG_0258	NA
MSMEG_0259	NA
MSMEG_0260	NA
MSMEG_0261	-1.70
MSMEG_0262	NA
MSMEG_0263	NA
MSMEG_0264	0.00
MSMEG_0265	NA
MSMEG_0266	NA
MSMEG_0267	NA
MSMEG_0268	-2.90
MSMEG_0269	NA
MSMEG_0270	-5.00
MSMEG_0271	NA
MSMEG_0272	NA
MSMEG_0273	NA
MSMEG_0274	NA
MSMEG_0275	NA
MSMEG_0276	NA
MSMEG_0277	NA
MSMEG_0278	NA
MSMEG_0279	NA
MSMEG_0280	NA
MSMEG_0281	NA
MSMEG_0282	-6.10
MSMEG_0283	NA
MSMEG_0284	NA
MSMEG_0285	0.00
MSMEG_0286	NA
MSMEG_0287	0.00
MSMEG_0288	NA
MSMEG_0289	-2.40
MSMEG_0290	-10.40
MSMEG_0291	NA
MSMEG_0292	NA
MSMEG_0293	NA
MSMEG_0294	NA
MSMEG_0295	NA
MSMEG_0296	-1.00
MSMEG_0297	NA
MSMEG_0298	NA
MSMEG_0299	-4.30
MSMEG_0300	-1.90
MSMEG_0301	-2.80
MSMEG_0302	NA
MSMEG_0303	-1.20
MSMEG_0304	NA
MSMEG_0305	0.00
MSMEG_0306	NA
MSMEG_0307	NA
MSMEG_0308	NA
MSMEG_0309	-3.60
MSMEG_0311	-0.50
MSMEG_0312	NA
MSMEG_0313	NA
MSMEG_0314	0.00
MSMEG_0315	NA
MSMEG_0316	NA
MSMEG_0317	0.00
MSMEG_0318	NA
MSMEG_0319	0.00
MSMEG_0320	NA
MSMEG_0321	-3.00
MSMEG_0323	NA
MSMEG_0324	NA
MSMEG_0325	NA
MSMEG_0326	NA
MSMEG_0327	NA
MSMEG_0328	NA
MSMEG_0329	NA
MSMEG_0330	NA
MSMEG_0331	-0.10
MSMEG_0332	NA
MSMEG_0333	NA
MSMEG_0334	NA
MSMEG_0335	NA
MSMEG_0336	NA
MSMEG_0337	NA
MSMEG_0338	NA
MSMEG_0339	NA
MSMEG_0340	NA
MSMEG_0341	-2.20
MSMEG_0342	NA
MSMEG_0343	-4.20
MSMEG_0344	NA
MSMEG_0345	NA
MSMEG_0346	NA
MSMEG_0347	NA
MSMEG_0348	0.00
MSMEG_0349	NA
MSMEG_0350	NA
MSMEG_0351	NA
MSMEG_0352	NA
MSMEG_0353	NA
MSMEG_0354	NA
MSMEG_0355	NA
MSMEG_0356	-2.00
MSMEG_0357	NA
MSMEG_0358	0.00
MSMEG_0359	0.00
MSMEG_0360	-0.70
MSMEG_0361	-1.10
MSMEG_0362	NA
MSMEG_0363	-6.10
MSMEG_0364	-5.20
MSMEG_0365	NA
MSMEG_0366	-1.50
MSMEG_0367	-1.40
MSMEG_0368	-3.20
MSMEG_0369	NA
MSMEG_0370	NA
MSMEG_0371	NA
MSMEG_0372	-1.00
MSMEG_0373	0.00
MSMEG_0374	NA
MSMEG_0375	NA
MSMEG_0376	-10.40
MSMEG_0377	NA
MSMEG_0378	NA
MSMEG_0379	NA
MSMEG_0380	-2.30
MSMEG_0381	-0.90
MSMEG_0382	-5.90
MSMEG_0383	-2.70
MSMEG_0384	-1.60
MSMEG_0385	NA
MSMEG_0386	-2.90
MSMEG_0387	-0.90
MSMEG_0388	-2.60
MSMEG_0389	NA
MSMEG_0390	NA
MSMEG_0391	0.00
MSMEG_0392	-2.20
MSMEG_0393	-0.30
MSMEG_0394	0.00
MSMEG_0395	NA
MSMEG_0396	NA
MSMEG_0397	NA
MSMEG_0398	-1.70
MSMEG_0399	0.00
MSMEG_0400	NA
MSMEG_0401	NA
MSMEG_0402	-0.60
MSMEG_0403	NA
MSMEG_0404	-3.90
MSMEG_0405	NA
MSMEG_0406	-3.90
MSMEG_0407	-5.60
MSMEG_0408	-4.10
MSMEG_0409	-10.70
MSMEG_0410	0.00
MSMEG_0411	-1.20
MSMEG_0412	-4.30
MSMEG_0413	-1.80
MSMEG_0414	NA
MSMEG_0415	0.00
MSMEG_0416	0.00
MSMEG_0417	NA
MSMEG_0418	NA
MSMEG_0419	-6.40
MSMEG_0420	-2.90
MSMEG_0421	NA
MSMEG_0422	-0.80
MSMEG_0423	-1.00
MSMEG_0424	NA
MSMEG_0425	NA
MSMEG_0426	NA
MSMEG_0427	NA
MSMEG_0428	-3.00
MSMEG_0429	-0.10
MSMEG_0430	NA
MSMEG_0431	NA
MSMEG_0432	NA
MSMEG_0433	-2.40
MSMEG_0434	-3.60
MSMEG_0435	NA
MSMEG_0436	-0.50
MSMEG_0437	0.00
MSMEG_0438	-0.20
MSMEG_0439	NA
MSMEG_0440	NA
MSMEG_0441	-3.40
MSMEG_0442	NA
MSMEG_0443	0.00
MSMEG_0444	NA
MSMEG_0445	NA
MSMEG_0446	NA
MSMEG_0447	-7.00
MSMEG_0448	0.00
MSMEG_0449	0.00
MSMEG_0450	-4.70
MSMEG_0451	-4.80
MSMEG_0452	NA
MSMEG_0453	-0.50
MSMEG_0454	NA
MSMEG_0455	-5.00
MSMEG_0456	NA
MSMEG_0457	-0.50
MSMEG_0458	NA
MSMEG_0459	NA
MSMEG_0460	NA
MSMEG_0461	NA
MSMEG_0462	-2.60
MSMEG_0463	NA
MSMEG_0464	-3.10
MSMEG_0465	-0.80
MSMEG_0466	-1.50
MSMEG_0467	NA
MSMEG_0468	NA
MSMEG_0469	0.00
MSMEG_0470	NA
MSMEG_0471	0.00
MSMEG_0472	NA
MSMEG_0473	-6.90
MSMEG_0474	NA
MSMEG_0475	NA
MSMEG_0476	NA
MSMEG_0477	NA
MSMEG_0478	NA
MSMEG_0479	NA
MSMEG_0480	-1.10
MSMEG_0481	NA
MSMEG_0482	NA
MSMEG_0483	NA
MSMEG_0484	-1.80
MSMEG_0485	NA
MSMEG_0486	NA
MSMEG_0487	NA
MSMEG_0488	NA
MSMEG_0489	NA
MSMEG_0490	NA
MSMEG_0491	-4.20
MSMEG_0492	-2.60
MSMEG_0493	-3.70
MSMEG_0494	-2.00
MSMEG_0496	NA
MSMEG_0497	NA
MSMEG_0498	NA
MSMEG_0499	-3.30
MSMEG_0500	-6.40
MSMEG_0501	NA
MSMEG_0502	NA
MSMEG_0503	NA
MSMEG_0504	-2.00
MSMEG_0505	NA
MSMEG_0506	NA
MSMEG_0507	NA
MSMEG_0508	NA
MSMEG_0509	NA
MSMEG_0510	NA
MSMEG_0511	NA
MSMEG_0512	NA
MSMEG_0513	NA
MSMEG_0514	NA
MSMEG_0515	NA
MSMEG_0516	NA
MSMEG_0517	NA
MSMEG_0518	NA
MSMEG_0519	-1.90
MSMEG_0520	-0.40
MSMEG_0522	NA
MSMEG_0523	NA
MSMEG_0524	NA
MSMEG_0525	NA
MSMEG_0526	NA
MSMEG_0527	NA
MSMEG_0528	NA
MSMEG_0529	NA
MSMEG_0530	0.00
MSMEG_0531	-3.50
MSMEG_0532	NA
MSMEG_0533	NA
MSMEG_0534	NA
MSMEG_0535	NA
MSMEG_0536	NA
MSMEG_0537	0.00
MSMEG_0538	-1.00
MSMEG_0539	-0.30
MSMEG_0540	-1.90
MSMEG_0541	-1.80
MSMEG_0542	NA
MSMEG_0543	NA
MSMEG_0544	-6.80
MSMEG_0545	-1.30
MSMEG_0546	-1.90
MSMEG_0547	-7.40
MSMEG_0548	-4.20
MSMEG_0549	-1.00
MSMEG_0550	NA
MSMEG_0551	-0.20
MSMEG_0552	NA
MSMEG_0553	NA
MSMEG_0554	NA
MSMEG_0555	NA
MSMEG_0556	NA
MSMEG_0557	-3.60
MSMEG_0558	NA
MSMEG_0559	-2.70
MSMEG_0560	-3.20
MSMEG_0561	-2.20
MSMEG_0562	NA
MSMEG_0563	-2.40
MSMEG_0564	-0.70
MSMEG_0565	NA
MSMEG_0566	-5.30
MSMEG_0567	NA
MSMEG_0568	NA
MSMEG_0569	NA
MSMEG_0570	NA
MSMEG_0571	NA
MSMEG_0572	-6.90
MSMEG_0573	NA
MSMEG_0574	-6.80
MSMEG_0575	-0.30
MSMEG_0576	NA
MSMEG_0577	NA
MSMEG_0578	-3.20
MSMEG_0579	NA
MSMEG_0580	-1.60
MSMEG_0581	-1.70
MSMEG_0582	NA
MSMEG_0583	-6.20
MSMEG_0584	NA
MSMEG_0585	NA
MSMEG_0586	-1.60
MSMEG_0587	NA
MSMEG_0588	NA
MSMEG_0589	NA
MSMEG_0590	NA
MSMEG_0591	NA
MSMEG_0592	-0.20
MSMEG_0593	NA
MSMEG_0594	NA
MSMEG_0595	-0.40
MSMEG_0596	0.00
MSMEG_0597	NA
MSMEG_0598	-0.20
MSMEG_0599	-1.80
MSMEG_0600	-3.10
MSMEG_0601	NA
MSMEG_0602	-3.00
MSMEG_0603	-4.40
MSMEG_0604	NA
MSMEG_0605	0.00
MSMEG_0606	-1.00
MSMEG_0607	-2.00
MSMEG_0608	-4.20
MSMEG_0609	-1.00
MSMEG_0610	NA
MSMEG_0611	NA
MSMEG_0612	-2.30
MSMEG_0613	NA
MSMEG_0614	-1.70
MSMEG_0615	-2.10
MSMEG_0616	NA
MSMEG_0617	NA
MSMEG_0618	NA
MSMEG_0619	NA
MSMEG_0620	NA
MSMEG_0621	NA
MSMEG_0622	NA
MSMEG_0623	-1.70
MSMEG_0624	NA
MSMEG_0625	-3.60
MSMEG_0626	NA
MSMEG_0627	NA
MSMEG_0628	NA
MSMEG_0629	-1.00
MSMEG_0630	NA
MSMEG_0632	-1.40
MSMEG_0633	-1.30
MSMEG_0634	-4.40
MSMEG_0635	-1.00
MSMEG_0636	-3.50
MSMEG_0637	NA
MSMEG_0638	-1.70
MSMEG_0639	NA
MSMEG_0640	NA
MSMEG_0641	-4.10
MSMEG_0642	NA
MSMEG_0643	-3.00
MSMEG_0644	NA
MSMEG_0645	-2.60
MSMEG_0646	NA
MSMEG_0647	NA
MSMEG_0648	NA
MSMEG_0649	NA
MSMEG_0650	NA
MSMEG_0651	NA
MSMEG_0652	NA
MSMEG_0654	NA
MSMEG_0655	NA
MSMEG_0656	0.00
MSMEG_0657	NA
MSMEG_0658	NA
MSMEG_0659	NA
MSMEG_0660	-2.90
MSMEG_0661	-1.70
MSMEG_0662	0.00
MSMEG_0663	-3.00
MSMEG_0664	NA
MSMEG_0665	NA
MSMEG_0666	NA
MSMEG_0667	0.00
MSMEG_0668	-2.40
MSMEG_0669	NA
MSMEG_0670	NA
MSMEG_0671	-3.00
MSMEG_0672	NA
MSMEG_0673	-4.70
MSMEG_0674	0.00
MSMEG_0675	NA
MSMEG_0676	0.00
MSMEG_0678	0.00
MSMEG_0679	-4.00
MSMEG_0680	NA
MSMEG_0681	NA
MSMEG_0682	-3.30
MSMEG_0683	0.00
MSMEG_0684	NA
MSMEG_0685	NA
MSMEG_0686	NA
MSMEG_0687	NA
MSMEG_0688	NA
MSMEG_0689	-0.60
MSMEG_0690	0.00
MSMEG_0691	NA
MSMEG_0692	-0.30
MSMEG_0693	NA
MSMEG_0695	NA
MSMEG_0696	NA
MSMEG_0697	NA
MSMEG_0698	-0.80
MSMEG_0699	NA
MSMEG_0700	0.00
MSMEG_0701	NA
MSMEG_0702	-2.40
MSMEG_0703	-1.80
MSMEG_0704	-1.50
MSMEG_0705	NA
MSMEG_0706	NA
MSMEG_0707	NA
MSMEG_0708	NA
MSMEG_0709	0.00
MSMEG_0710	NA
MSMEG_0711	-0.20
MSMEG_0712	-2.70
MSMEG_0713	NA
MSMEG_0714	NA
MSMEG_0715	NA
MSMEG_0716	-0.60
MSMEG_0717	-3.20
MSMEG_0718	NA
MSMEG_0719	-0.50
MSMEG_0720	NA
MSMEG_0722	-5.30
MSMEG_0723	NA
MSMEG_0724	-2.10
MSMEG_0725	NA
MSMEG_0726	-1.60
MSMEG_0727	NA
MSMEG_0728	-5.30
MSMEG_0729	NA
MSMEG_0730	NA
MSMEG_0731	-3.00
MSMEG_0732	0.00
MSMEG_0733	NA
MSMEG_0734	0.00
MSMEG_0735	-1.40
MSMEG_0736	-0.60
MSMEG_0737	NA
MSMEG_0738	NA
MSMEG_0739	-2.70
MSMEG_0740	-3.80
MSMEG_0741	NA
MSMEG_0742	-1.40
MSMEG_0743	NA
MSMEG_0744	NA
MSMEG_0745	NA
MSMEG_0746	NA
MSMEG_0747	NA
MSMEG_0748	NA
MSMEG_0749	NA
MSMEG_0750	-0.70
MSMEG_0751	NA
MSMEG_0752	-3.70
MSMEG_0753	-3.00
MSMEG_0754	-3.30
MSMEG_0755	NA
MSMEG_0756	-2.40
MSMEG_0757	NA
MSMEG_0758	-4.10
MSMEG_0759	-2.50
MSMEG_0760	NA
MSMEG_0761	0.00
MSMEG_0762	-3.20
MSMEG_0763	NA
MSMEG_0764	-4.20
MSMEG_0765	-0.50
MSMEG_0766	-3.30
MSMEG_0767	NA
MSMEG_0768	0.00
MSMEG_0769	NA
MSMEG_0770	NA
MSMEG_0771	NA
MSMEG_0772	NA
MSMEG_0773	NA
MSMEG_0775	-3.40
MSMEG_0776	-0.10
MSMEG_0777	NA
MSMEG_0778	NA
MSMEG_0779	NA
MSMEG_0780	NA
MSMEG_0781	-0.30
MSMEG_0782	NA
MSMEG_0783	NA
MSMEG_0784	NA
MSMEG_0785	NA
MSMEG_0786	NA
MSMEG_0787	-1.20
MSMEG_0788	-1.30
MSMEG_0789	-2.00
MSMEG_0790	-2.20
MSMEG_0791	-5.20
MSMEG_0792	NA
MSMEG_0793	NA
MSMEG_0794	NA
MSMEG_0795	NA
MSMEG_0796	-1.10
MSMEG_0798	-4.00
MSMEG_0799	-1.50
MSMEG_0800	NA
MSMEG_0801	-3.60
MSMEG_0802	NA
MSMEG_0803	-1.70
MSMEG_0804	NA
MSMEG_0805	NA
MSMEG_0806	-3.10
MSMEG_0807	-4.20
MSMEG_0808	NA
MSMEG_0809	NA
MSMEG_0810	0.00
MSMEG_0811	NA
MSMEG_0812	-1.70
MSMEG_0813	NA
MSMEG_0814	-8.60
MSMEG_0815	NA
MSMEG_0816	-4.00
MSMEG_0817	NA
MSMEG_0818	0.00
MSMEG_0819	NA
MSMEG_0820	NA
MSMEG_0821	NA
MSMEG_0822	NA
MSMEG_0823	NA
MSMEG_0824	NA
MSMEG_0825	0.00
MSMEG_0826	-0.20
MSMEG_0827	NA
MSMEG_0828	-11.00
MSMEG_0829	NA
MSMEG_0830	NA
MSMEG_0831	NA
MSMEG_0832	-2.30
MSMEG_0833	-0.20
MSMEG_0834	NA
MSMEG_0835	-4.60
MSMEG_0836	NA
MSMEG_0837	NA
MSMEG_0838	0.00
MSMEG_0839	-2.60
MSMEG_0840	-1.10
MSMEG_0842	0.00
MSMEG_0843	NA
MSMEG_0844	-0.60
MSMEG_0845	NA
MSMEG_0846	NA
MSMEG_0847	NA
MSMEG_0848	NA
MSMEG_0849	-4.50
MSMEG_0850	NA
MSMEG_0851	NA
MSMEG_0852	NA
MSMEG_0853	NA
MSMEG_0854	-0.90
MSMEG_0855	-2.50
MSMEG_0856	NA
MSMEG_0857	0.00
MSMEG_0858	NA
MSMEG_0859	-1.80
MSMEG_0860	NA
MSMEG_0861	-2.90
MSMEG_0862	0.00
MSMEG_0863	NA
MSMEG_0864	NA
MSMEG_0865	NA
MSMEG_0866	-1.00
MSMEG_0867	NA
MSMEG_0868	NA
MSMEG_0869	NA
MSMEG_0870	NA
MSMEG_0871	NA
MSMEG_0872	NA
MSMEG_0873	NA
MSMEG_0874	NA
MSMEG_0875	NA
MSMEG_0876	-8.80
MSMEG_0877	-1.90
MSMEG_0878	NA
MSMEG_0879	NA
MSMEG_0880	-3.60
MSMEG_0881	NA
MSMEG_0882	NA
MSMEG_0883	NA
MSMEG_0884	-3.50
MSMEG_0885	NA
MSMEG_0886	-6.10
MSMEG_0887	-0.50
MSMEG_0888	NA
MSMEG_0889	-0.60
MSMEG_0890	0.00
MSMEG_0891	NA
MSMEG_0892	-1.30
MSMEG_0893	NA
MSMEG_0894	-2.70
MSMEG_0895	-0.40
MSMEG_0896	-4.90
MSMEG_0897	NA
MSMEG_0898	NA
MSMEG_0899	NA
MSMEG_0900	-2.40
MSMEG_0901	-0.20
MSMEG_0902	NA
MSMEG_0903	-0.10
MSMEG_0904	NA
MSMEG_0905	NA
MSMEG_0906	-3.60
MSMEG_0907	NA
MSMEG_0908	NA
MSMEG_0909	-4.10
MSMEG_0910	NA
MSMEG_0911	-1.50
MSMEG_0912	-2.00
MSMEG_0913	-6.60
MSMEG_0914	NA
MSMEG_0915	-1.60
MSMEG_0916	-0.30
MSMEG_0917	-2.80
MSMEG_0918	-3.00
MSMEG_0919	0.00
MSMEG_0920	0.00
MSMEG_0921	NA
MSMEG_0922	NA
MSMEG_0923	-2.50
MSMEG_0924	NA
MSMEG_0925	NA
MSMEG_0926	NA
MSMEG_0927	NA
MSMEG_0928	-1.60
MSMEG_0929	-1.20
MSMEG_0930	0.00
MSMEG_0931	NA
MSMEG_0932	-1.30
MSMEG_0933	-2.70
MSMEG_0934	NA
MSMEG_0935	-0.60
MSMEG_0936	-1.60
MSMEG_0937	NA
MSMEG_0938	0.00
MSMEG_0939	-3.00
MSMEG_0940	-1.10
MSMEG_0941	-2.50
MSMEG_0942	-4.80
MSMEG_0943	-1.50
MSMEG_0944	-5.10
MSMEG_0945	-0.70
MSMEG_0946	NA
MSMEG_0947	-3.30
MSMEG_0948	-3.90
MSMEG_0949	-2.30
MSMEG_0950	NA
MSMEG_0951	-1.40
MSMEG_0952	-2.80
MSMEG_0953	NA
MSMEG_0954	NA
MSMEG_0955	NA
MSMEG_0956	NA
MSMEG_0957	NA
MSMEG_0958	NA
MSMEG_0959	NA
MSMEG_0960	NA
MSMEG_0962	-2.70
MSMEG_0963	NA
MSMEG_0964	0.00
MSMEG_0965	-3.20
MSMEG_0966	NA
MSMEG_0967	NA
MSMEG_0968	NA
MSMEG_0969	NA
MSMEG_0970	NA
MSMEG_0971	NA
MSMEG_0972	-0.80
MSMEG_0973	NA
MSMEG_0974	-4.80
MSMEG_0975	-2.80
MSMEG_0976	-0.50
MSMEG_0977	0.00
MSMEG_0978	NA
MSMEG_0979	NA
MSMEG_0980	NA
MSMEG_0981	NA
MSMEG_0982	0.00
MSMEG_0983	NA
MSMEG_0984	NA
MSMEG_0985	-2.90
MSMEG_0986	0.00
MSMEG_0987	-0.60
MSMEG_0988	-1.90
MSMEG_0989	NA
MSMEG_0990	-0.90
MSMEG_0991	-0.70
MSMEG_0992	NA
MSMEG_0993	NA
MSMEG_0994	NA
MSMEG_0995	NA
MSMEG_0996	NA
MSMEG_0997	NA
MSMEG_0998	NA
MSMEG_0999	-0.60
MSMEG_1000	NA
MSMEG_1001	NA
MSMEG_1002	-3.60
MSMEG_1003	-7.50
MSMEG_1004	NA
MSMEG_1005	-1.40
MSMEG_1006	NA
MSMEG_1007	-1.40
MSMEG_1008	-3.80
MSMEG_1009	NA
MSMEG_1010	0.00
MSMEG_1011	NA
MSMEG_1012	-0.80
MSMEG_1013	NA
MSMEG_1014	NA
MSMEG_1015	NA
MSMEG_1016	NA
MSMEG_1017	-1.10
MSMEG_1019	-1.70
MSMEG_1021	NA
MSMEG_1022	NA
MSMEG_1023	-0.20
MSMEG_1024	NA
MSMEG_1025	-1.00
MSMEG_1026	NA
MSMEG_1027	-0.60
MSMEG_1028	-1.10
MSMEG_1029	-4.50
MSMEG_1030	-1.40
MSMEG_1031	NA
MSMEG_1032	NA
MSMEG_1033	-2.70
MSMEG_1034	-1.70
MSMEG_1035	NA
MSMEG_1037	-1.80
MSMEG_1038	-1.00
MSMEG_1039	0.00
MSMEG_1041	NA
MSMEG_1042	-0.40
MSMEG_1043	NA
MSMEG_1044	NA
MSMEG_1045	NA
MSMEG_1046	-0.90
MSMEG_1047	NA
MSMEG_1048	NA
MSMEG_1049	0.00
MSMEG_1050	NA
MSMEG_1051	-7.70
MSMEG_1052	-1.60
MSMEG_1053	0.00
MSMEG_1054	NA
MSMEG_1055	NA
MSMEG_1057	NA
MSMEG_1058	-3.60
MSMEG_1059	NA
MSMEG_1060	-0.70
MSMEG_1061	-2.60
MSMEG_1062	-4.80
MSMEG_1063	-3.20
MSMEG_1064	NA
MSMEG_1065	0.00
MSMEG_1066	NA
MSMEG_1067	-0.70
MSMEG_1068	-1.30
MSMEG_1069	NA
MSMEG_1070	NA
MSMEG_1071	NA
MSMEG_1072	NA
MSMEG_1073	0.00
MSMEG_1074	0.00
MSMEG_1075	-3.90
MSMEG_1076	-4.30
MSMEG_1077	-4.40
MSMEG_1078	NA
MSMEG_1079	NA
MSMEG_1080	NA
MSMEG_1081	NA
MSMEG_1082	-1.70
MSMEG_1083	NA
MSMEG_1084	NA
MSMEG_1085	NA
MSMEG_1086	NA
MSMEG_1088	NA
MSMEG_1089	-5.50
MSMEG_1090	NA
MSMEG_1091	NA
MSMEG_1092	NA
MSMEG_1093	NA
MSMEG_1094	NA
MSMEG_1095	NA
MSMEG_1096	NA
MSMEG_1097	NA
MSMEG_1098	0.00
MSMEG_1099	NA
MSMEG_1100	NA
MSMEG_1101	NA
MSMEG_1102	NA
MSMEG_1103	-2.20
MSMEG_1104	NA
MSMEG_1106	NA
MSMEG_1107	NA
MSMEG_1108	NA
MSMEG_1109	NA
MSMEG_1110	NA
MSMEG_1111	NA
MSMEG_1112	0.00
MSMEG_1113	NA
MSMEG_1114	-1.80
MSMEG_1115	-2.10
MSMEG_1116	-1.80
