gene	Pattern_cls_hypoxia
MSMEG_0459	Fast
MSMEG_0460	Fast
MSMEG_0461	Fast
MSMEG_0463	Med-slow
MSMEG_0464	Med-fast
MSMEG_0465	Fast
MSMEG_0469	Med-fast
MSMEG_0470	Med-fast
MSMEG_0471	Med-fast
MSMEG_0473	Fast
MSMEG_0475	Med-fast
MSMEG_0480	Med-slow
MSMEG_0488	Fast
MSMEG_0491	Fast
MSMEG_0492	Med-fast
MSMEG_0493	Fast
MSMEG_0497	Fast
MSMEG_0500	Med-fast
MSMEG_0502	Slow
MSMEG_0503	Med-fast
MSMEG_0507	Med-slow
MSMEG_0512	Med-fast
MSMEG_0513	Med-fast
MSMEG_0515	Med-fast
MSMEG_0518	Med-slow
MSMEG_0519	Med-fast
MSMEG_0520	Med-slow
MSMEG_0523	Fast
MSMEG_0526	Med-fast
MSMEG_0527	Med-fast
MSMEG_0529	Med-fast
MSMEG_0530	Fast
MSMEG_0533	Med-fast
MSMEG_0534	Med-slow
MSMEG_0535	Med-slow
MSMEG_0536	Med-slow
MSMEG_0537	Fast
MSMEG_0538	Fast
MSMEG_0539	Med-fast
MSMEG_0540	Fast
MSMEG_0541	Fast
MSMEG_0542	Fast
MSMEG_0543	Med-fast
MSMEG_0544	Med-fast
MSMEG_0545	Med-fast
MSMEG_0546	Fast
MSMEG_0547	Med-fast
MSMEG_0548	Med-fast
MSMEG_0550	Slow
MSMEG_0551	Med-slow
MSMEG_0552	Med-slow
MSMEG_0553	Med-fast
MSMEG_0557	Fast
MSMEG_0559	Med-slow
MSMEG_0561	Med-fast
MSMEG_0562	Med-slow
MSMEG_0563	Med-slow
MSMEG_0564	Med-slow
MSMEG_0565	Med-fast
MSMEG_0567	Med-slow
MSMEG_0574	Fast
MSMEG_0575	Med-fast
MSMEG_0579	Med-fast
MSMEG_0580	Fast
MSMEG_0583	Fast
MSMEG_0584	Slow
MSMEG_0586	Slow
MSMEG_0590	Slow
MSMEG_0592	Med-slow
MSMEG_0593	Med-slow
MSMEG_0594	Med-fast
MSMEG_0595	Fast
MSMEG_0596	Med-slow
MSMEG_0597	Med-fast
MSMEG_0598	Fast
MSMEG_0599	Med-fast
MSMEG_0600	Med-slow
MSMEG_0601	Med-fast
MSMEG_0602	Med-fast
MSMEG_0603	Med-fast
MSMEG_0604	Med-fast
MSMEG_0605	Med-fast
MSMEG_0606	Fast
MSMEG_0607	Med-fast
MSMEG_0608	Fast
MSMEG_0609	Fast
MSMEG_0610	Med-slow
MSMEG_0612	Fast
MSMEG_0614	Med-slow
MSMEG_0625	Med-fast
MSMEG_0628	Med-fast
MSMEG_0629	Med-fast
MSMEG_0630	Slow
MSMEG_0632	Fast
MSMEG_0633	Med-slow
MSMEG_0634	Med-slow
MSMEG_0635	Fast
MSMEG_0636	Slow
MSMEG_0637	Med-slow
MSMEG_0638	Med-fast
MSMEG_0639	Slow
MSMEG_0640	Slow
MSMEG_0641	Slow
MSMEG_0642	Slow
MSMEG_0643	Med-slow
MSMEG_0645	Med-slow
MSMEG_0646	Slow
MSMEG_0649	Med-fast
MSMEG_0650	Fast
MSMEG_0651	Fast
MSMEG_0652	Med-fast
MSMEG_0657	Med-slow
MSMEG_0658	Med-fast
MSMEG_0659	Med-slow
MSMEG_0660	Fast
MSMEG_0661	Med-fast
MSMEG_0662	Med-fast
MSMEG_0663	Fast
MSMEG_0665	Slow
MSMEG_0666	Slow
MSMEG_0667	Med-fast
MSMEG_0668	Med-slow
MSMEG_0669	Slow
MSMEG_0670	Med-fast
MSMEG_0671	Med-slow
MSMEG_0672	Med-slow
MSMEG_0673	Med-slow
MSMEG_0674	Fast
MSMEG_0676	Med-fast
MSMEG_0678	Med-slow
MSMEG_0679	Fast
MSMEG_0680	Med-slow
MSMEG_0681	Med-fast
MSMEG_0682	Med-fast
MSMEG_0683	Med-fast
MSMEG_0684	Slow
MSMEG_0685	Med-slow
MSMEG_0687	Med-slow
MSMEG_0688	Fast
MSMEG_0690	Med-fast
MSMEG_0691	Slow
MSMEG_0692	Med-fast
MSMEG_0693	Fast
MSMEG_0695	Med-slow
MSMEG_0696	Med-fast
MSMEG_0697	Fast
MSMEG_0698	Med-fast
MSMEG_0699	Med-fast
MSMEG_0700	Med-fast
MSMEG_0701	Med-slow
MSMEG_0702	Med-fast
MSMEG_0703	Fast
MSMEG_0704	Fast
MSMEG_0708	Fast
MSMEG_0709	Med-slow
MSMEG_0710	Slow
MSMEG_0711	Slow
MSMEG_0712	Fast
MSMEG_0716	Med-fast
MSMEG_0717	Fast
MSMEG_0719	Fast
MSMEG_0723	Fast
MSMEG_0724	Fast
MSMEG_0725	Med-fast
MSMEG_0726	Med-fast
MSMEG_0727	Med-fast
MSMEG_0728	Fast
MSMEG_0730	Med-fast
MSMEG_0731	Fast
MSMEG_0732	Med-slow
MSMEG_0733	Med-fast
MSMEG_0734	Med-slow
MSMEG_0736	Fast
MSMEG_0737	Med-fast
MSMEG_0738	Med-slow
MSMEG_0739	Med-fast
MSMEG_0740	Med-slow
MSMEG_0741	Slow
MSMEG_0742	Med-fast
MSMEG_0743	Fast
MSMEG_0744	Med-slow
MSMEG_0745	Fast
MSMEG_0746	Med-slow
MSMEG_0750	Fast
MSMEG_0752	Med-slow
MSMEG_0753	Med-fast
MSMEG_0754	Med-fast
MSMEG_0755	Fast
MSMEG_0756	Med-fast
MSMEG_0757	Fast
MSMEG_0758	Med-slow
MSMEG_0759	Med-slow
MSMEG_0760	Med-slow
MSMEG_0761	Fast
MSMEG_0762	Med-fast
MSMEG_0763	Med-slow
MSMEG_0764	Med-slow
MSMEG_0765	Med-fast
MSMEG_0766	Med-fast
MSMEG_0767	Med-slow
MSMEG_0768	Med-fast
MSMEG_0769	Med-slow
MSMEG_0770	Med-slow
MSMEG_0775	Fast
MSMEG_0776	Fast
MSMEG_0777	Med-fast
MSMEG_0778	Slow
MSMEG_0779	Med-slow
MSMEG_0780	Med-fast
MSMEG_0783	Fast
MSMEG_0784	Med-slow
MSMEG_0785	Med-slow
MSMEG_0786	Med-slow
MSMEG_0787	Med-slow
MSMEG_0788	Fast
MSMEG_0789	Med-fast
MSMEG_0790	Med-fast
MSMEG_0791	Med-fast
MSMEG_0793	Med-slow
MSMEG_0794	Med-slow
MSMEG_0795	Med-fast
MSMEG_0796	Med-slow
MSMEG_0798	Med-fast
MSMEG_0800	Med-slow
MSMEG_0801	Med-fast
MSMEG_0802	Med-fast
MSMEG_0805	Fast
MSMEG_0806	Fast
MSMEG_0807	Med-slow
MSMEG_0808	Med-fast
MSMEG_0809	Med-slow
MSMEG_0810	Med-fast
MSMEG_0812	Med-fast
MSMEG_0813	Fast
MSMEG_0815	Fast
MSMEG_0816	Med-slow
MSMEG_0817	Med-fast
MSMEG_0818	Slow
MSMEG_0822	Med-fast
MSMEG_0823	Med-slow
MSMEG_0825	Slow
MSMEG_0827	Med-slow
MSMEG_0828	Med-slow
MSMEG_0829	Med-fast
MSMEG_0830	Med-slow
MSMEG_0832	Med-slow
MSMEG_0833	Fast
MSMEG_0834	Fast
MSMEG_0835	Fast
MSMEG_0836	Med-slow
MSMEG_0837	Med-fast
MSMEG_0838	Med-slow
MSMEG_0839	Med-slow
MSMEG_0840	Med-fast
MSMEG_0842	Slow
MSMEG_0844	Med-slow
MSMEG_0845	Med-slow
MSMEG_0848	Slow
MSMEG_0849	Fast
MSMEG_0851	Med-fast
MSMEG_0852	Med-fast
MSMEG_0854	Fast
MSMEG_0855	Med-fast
MSMEG_0856	Med-fast
MSMEG_0858	Slow
MSMEG_0859	Fast
MSMEG_0860	Med-slow
MSMEG_0861	Med-slow
MSMEG_0863	Med-slow
MSMEG_0864	Med-slow
MSMEG_0865	Slow
MSMEG_0866	Fast
MSMEG_0867	Slow
MSMEG_0868	Med-slow
MSMEG_0870	Slow
MSMEG_0874	Fast
MSMEG_0875	Med-fast
MSMEG_0877	Med-slow
MSMEG_0878	Med-slow
MSMEG_0882	Med-slow
MSMEG_0883	Med-slow
MSMEG_0884	Fast
MSMEG_0885	Slow
MSMEG_0886	Slow
MSMEG_0887	Fast
MSMEG_0888	Med-fast
MSMEG_0890	Med-fast
MSMEG_0891	Med-fast
MSMEG_0892	Med-fast
MSMEG_0895	Fast
MSMEG_0896	Fast
MSMEG_0897	Slow
MSMEG_0898	Slow
MSMEG_0899	Med-fast
MSMEG_0900	Med-slow
MSMEG_0901	Slow
MSMEG_0903	Med-fast
MSMEG_0904	Med-slow
MSMEG_0905	Med-fast
MSMEG_0906	Med-fast
MSMEG_0909	Med-fast
MSMEG_0910	Fast
MSMEG_0912	Med-slow
MSMEG_0913	Med-fast
MSMEG_0914	Med-slow
MSMEG_0915	Med-fast
MSMEG_0916	Fast
MSMEG_0917	Med-fast
MSMEG_0918	Fast
MSMEG_0919	Med-fast
MSMEG_0920	Fast
MSMEG_0921	Med-fast
MSMEG_0922	Med-slow
MSMEG_0923	Med-fast
MSMEG_0924	Fast
MSMEG_0925	Med-fast
MSMEG_0926	Med-fast
MSMEG_0927	Slow
MSMEG_0928	Slow
MSMEG_0929	Fast
MSMEG_0930	Med-fast
MSMEG_0931	Fast
MSMEG_0932	Med-slow
MSMEG_0933	Med-slow
MSMEG_0934	Med-fast
MSMEG_0935	Med-fast
MSMEG_0936	Fast
MSMEG_0937	Med-fast
MSMEG_0938	Fast
MSMEG_0939	Fast
MSMEG_0940	Med-slow
MSMEG_0941	Med-slow
MSMEG_0942	Slow
MSMEG_0943	Med-slow
MSMEG_0944	Med-fast
MSMEG_0945	Med-fast
MSMEG_0946	Med-fast
MSMEG_0947	Med-fast
MSMEG_0948	Fast
MSMEG_0949	Fast
MSMEG_0950	Fast
MSMEG_0951	Fast
MSMEG_0952	Fast
MSMEG_0953	Med-slow
MSMEG_0954	Med-slow
MSMEG_0956	Med-slow
MSMEG_0957	Med-slow
MSMEG_0958	Med-slow
MSMEG_0959	Slow
MSMEG_0960	Slow
MSMEG_0962	Med-slow
MSMEG_0963	Fast
MSMEG_0964	Med-fast
MSMEG_0965	Med-slow
MSMEG_0966	Med-fast
MSMEG_0968	Med-slow
MSMEG_0969	Med-slow
MSMEG_0970	Slow
MSMEG_0972	Slow
MSMEG_0973	Slow
MSMEG_0974	Slow
MSMEG_0975	Med-fast
MSMEG_0976	Fast
MSMEG_0977	Fast
MSMEG_0978	Med-fast
MSMEG_0979	Med-fast
MSMEG_0980	Med-slow
MSMEG_0982	Med-fast
MSMEG_0983	Med-fast
MSMEG_0984	Med-fast
MSMEG_0985	Med-fast
MSMEG_0987	Fast
MSMEG_0988	Med-fast
MSMEG_0989	Med-slow
MSMEG_0990	Med-slow
MSMEG_0991	Med-slow
MSMEG_0992	Med-slow
MSMEG_0993	Med-fast
MSMEG_0994	Med-fast
MSMEG_0995	Slow
MSMEG_0996	Med-fast
MSMEG_0997	Med-slow
MSMEG_0998	Med-slow
MSMEG_0999	Med-slow
MSMEG_1000	Med-slow
MSMEG_1001	Med-slow
MSMEG_1002	Med-fast
MSMEG_1003	Med-fast
MSMEG_1004	Fast
MSMEG_1006	Med-fast
MSMEG_1007	Fast
MSMEG_1008	Fast
MSMEG_1009	Fast
MSMEG_1010	Fast
MSMEG_1011	Med-fast
MSMEG_1012	Slow
MSMEG_1013	Slow
MSMEG_1014	Fast
MSMEG_1015	Med-slow
MSMEG_1017	Fast
MSMEG_1019	Med-fast
MSMEG_1023	Med-slow
MSMEG_1024	Med-slow
MSMEG_1026	Fast
MSMEG_1028	Med-fast
MSMEG_1029	Fast
MSMEG_1030	Med-fast
MSMEG_1031	Med-slow
MSMEG_1032	Fast
MSMEG_1033	Fast
MSMEG_1034	Med-fast
MSMEG_1035	Med-slow
MSMEG_1037	Med-fast
MSMEG_1038	Med-fast
MSMEG_1039	Slow
MSMEG_1041	Med-slow
MSMEG_1042	Med-fast
MSMEG_1043	Med-fast
MSMEG_1044	Med-slow
MSMEG_1045	Med-slow
MSMEG_1046	Med-fast
MSMEG_1047	Med-slow
MSMEG_1048	Slow
MSMEG_1049	Slow
MSMEG_1050	Med-slow
MSMEG_1051	Med-fast
MSMEG_1052	Med-fast
MSMEG_1053	Med-slow
MSMEG_1055	Slow
MSMEG_1057	Med-slow
MSMEG_1058	Med-fast
MSMEG_1059	Med-fast
MSMEG_1060	Fast
MSMEG_1061	Fast
MSMEG_1062	Med-fast
MSMEG_1063	Fast
MSMEG_1064	Fast
MSMEG_1065	Med-fast
MSMEG_1066	Med-fast
MSMEG_1067	Fast
MSMEG_1068	Med-fast
MSMEG_1073	Slow
MSMEG_1074	Fast
MSMEG_1075	Slow
MSMEG_1077	Fast
MSMEG_1078	Fast
MSMEG_1083	Fast
MSMEG_1088	Slow
MSMEG_1098	Med-fast
MSMEG_1099	Med-slow
MSMEG_1100	Slow
MSMEG_1101	Slow
MSMEG_1103	Fast
MSMEG_1106	Med-fast
MSMEG_1107	Med-fast
MSMEG_1108	Fast
MSMEG_1109	Med-fast
MSMEG_1110	Med-fast
MSMEG_1111	Med-slow
MSMEG_1112	Med-fast
MSMEG_1113	Slow
MSMEG_1115	Med-fast
MSMEG_1117	Fast
MSMEG_1119	Med-fast
MSMEG_1123	Fast
MSMEG_1124	Fast
MSMEG_1125	Fast
MSMEG_1126	Med-fast
MSMEG_1127	Med-fast
MSMEG_1129	Fast
MSMEG_1130	Med-fast
MSMEG_1131	Fast
MSMEG_1132	Med-slow
MSMEG_1133	Med-fast
MSMEG_1134	Med-fast
MSMEG_1136	Med-fast
MSMEG_1140	Med-fast
MSMEG_1147	Slow
MSMEG_1150	Fast
MSMEG_1151	Slow
MSMEG_1152	Slow
MSMEG_1165	Med-slow
MSMEG_1167	Fast
MSMEG_1168	Fast
MSMEG_1169	Fast
MSMEG_1171	Med-fast
MSMEG_1172	Med-fast
MSMEG_1173	Slow
MSMEG_1176	Med-slow
MSMEG_1177	Med-fast
MSMEG_1178	Med-fast
MSMEG_1179	Med-slow
MSMEG_1180	Slow
MSMEG_1181	Slow
MSMEG_1182	Slow
MSMEG_1183	Slow
MSMEG_1184	Slow
MSMEG_1185	Fast
MSMEG_1187	Slow
MSMEG_1188	Med-fast
MSMEG_1189	Slow
MSMEG_1190	Med-slow
MSMEG_1191	Med-slow
MSMEG_1192	Med-fast
MSMEG_1194	Med-fast
MSMEG_1195	Fast
MSMEG_1196	Fast
MSMEG_1198	Fast
MSMEG_1199	Med-slow
MSMEG_1203	Med-fast
MSMEG_1204	Fast
MSMEG_1205	Med-slow
MSMEG_1208	Slow
MSMEG_1209	Med-fast
MSMEG_1210	Fast
MSMEG_1211	Fast
MSMEG_1213	Med-fast
MSMEG_1214	Med-slow
MSMEG_1215	Med-fast
MSMEG_1216	Med-slow
MSMEG_1218	Med-slow
MSMEG_1219	Med-slow
MSMEG_1220	Med-fast
MSMEG_1221	Med-fast
MSMEG_1223	Med-fast
MSMEG_1225	Med-fast
MSMEG_1229	Med-slow
MSMEG_1231	Fast
MSMEG_1234	Med-slow
MSMEG_1236	Med-slow
MSMEG_1237	Slow
MSMEG_1238	Med-fast
MSMEG_1242	Fast
MSMEG_1243	Med-fast
MSMEG_1244	Med-slow
MSMEG_1245	Slow
MSMEG_1246	Med-slow
MSMEG_1247	Slow
MSMEG_1248	Slow
MSMEG_1249	Fast
MSMEG_1250	Fast
MSMEG_1251	Fast
MSMEG_1252	Med-slow
MSMEG_1254	Fast
MSMEG_1255	Slow
MSMEG_1257	Med-fast
MSMEG_1258	Med-slow
MSMEG_1259	Slow
MSMEG_1260	Med-slow
MSMEG_1261	Fast
MSMEG_1262	Med-slow
MSMEG_1263	Med-slow
MSMEG_1264	Med-slow
MSMEG_1265	Slow
MSMEG_1266	Med-slow
MSMEG_1268	Fast
MSMEG_1269	Med-fast
MSMEG_1270	Fast
MSMEG_1271	Med-fast
MSMEG_1272	Med-fast
MSMEG_1273	Fast
MSMEG_1274	Med-fast
MSMEG_1275	Fast
MSMEG_1277	Fast
MSMEG_1278	Fast
MSMEG_1279	Med-fast
MSMEG_1280	Med-slow
MSMEG_1281	Med-fast
MSMEG_1282	Med-fast
MSMEG_1283	Med-fast
MSMEG_1284	Med-fast
MSMEG_1285	Med-fast
MSMEG_1286	Med-slow
MSMEG_1287	Med-fast
MSMEG_1288	Med-fast
MSMEG_1289	Med-slow
MSMEG_1291	Slow
MSMEG_1292	Med-fast
MSMEG_1295	Med-slow
MSMEG_1296	Med-slow
MSMEG_1297	Med-slow
MSMEG_1298	Med-slow
MSMEG_1303	Med-fast
MSMEG_1305	Fast
MSMEG_1307	Fast
MSMEG_1310	Fast
MSMEG_1311	Med-fast
MSMEG_1313	Med-slow
MSMEG_1315	Med-slow
MSMEG_1316	Med-fast
MSMEG_1317	Fast
MSMEG_1319	Med-slow
MSMEG_1321	Med-fast
MSMEG_1322	Med-fast
MSMEG_1323	Fast
MSMEG_1325	Med-slow
MSMEG_1327	Med-slow
MSMEG_1328	Med-slow
MSMEG_1329	Med-slow
MSMEG_1331	Med-fast
MSMEG_1332	Med-fast
MSMEG_1334	Med-slow
MSMEG_1336	Med-slow
MSMEG_1339	Fast
MSMEG_1340	Med-slow
MSMEG_1344	Med-fast
MSMEG_1345	Med-fast
MSMEG_1346	Slow
MSMEG_1347	Slow
MSMEG_1348	Med-fast
MSMEG_1349	Med-fast
MSMEG_1350	Fast
MSMEG_1351	Med-slow
MSMEG_1352	Med-slow
MSMEG_1353	Med-fast
MSMEG_1355	Med-slow
MSMEG_1356	Slow
MSMEG_1358	Med-fast
MSMEG_1359	Med-fast
MSMEG_1360	Med-fast
MSMEG_1361	Slow
MSMEG_1362	Med-slow
MSMEG_1363	Med-slow
MSMEG_1366	Med-fast
MSMEG_1367	Med-slow
MSMEG_1368	Slow
MSMEG_1369	Fast
MSMEG_1372	Fast
MSMEG_1375	Med-fast
MSMEG_1376	Med-fast
MSMEG_1377	Med-slow
MSMEG_1378	Slow
MSMEG_1379	Fast
MSMEG_1380	Fast
MSMEG_1382	Slow
MSMEG_1383	Fast
MSMEG_1384	Med-slow
MSMEG_1385	Fast
MSMEG_1386	Med-slow
MSMEG_1387	Med-fast
MSMEG_1388	Med-fast
MSMEG_1389	Med-slow
MSMEG_1390	Med-slow
MSMEG_1393	Med-fast
MSMEG_1394	Med-fast
MSMEG_1395	Med-fast
MSMEG_1396	Med-fast
MSMEG_1397	Fast
MSMEG_1398	Fast
MSMEG_1399	Slow
MSMEG_1402	Med-fast
MSMEG_1403	Fast
MSMEG_1404	Med-fast
MSMEG_1405	Med-fast
MSMEG_1409	Med-fast
MSMEG_1410	Med-fast
MSMEG_1414	Med-fast
MSMEG_1416	Med-slow
MSMEG_1417	Med-fast
MSMEG_1418	Fast
MSMEG_1419	Fast
MSMEG_1421	Slow
MSMEG_1422	Slow
MSMEG_1423	Med-fast
MSMEG_1424	Slow
MSMEG_1425	Med-slow
MSMEG_1426	Med-slow
MSMEG_1427	Slow
MSMEG_1428	Med-slow
MSMEG_1429	Slow
MSMEG_1430	Slow
MSMEG_1432	Med-slow
MSMEG_1434	Med-fast
MSMEG_1435	Slow
