gene	Pattern_cls_logPhase
MSMEG_0198	Med-fast
MSMEG_0201	Med-fast
MSMEG_0202	Med-fast
MSMEG_0203	Med-fast
MSMEG_0206	Med-fast
MSMEG_0207	Slow
MSMEG_0209	Med-fast
MSMEG_0210	Med-fast
MSMEG_0211	Med-fast
MSMEG_0212	Med-fast
MSMEG_0213	Fast
MSMEG_0214	Fast
MSMEG_0215	Med-fast
MSMEG_0216	Slow
MSMEG_0217	Slow
MSMEG_0218	Slow
MSMEG_0219	Med-fast
MSMEG_0220	Med-fast
MSMEG_0221	Fast
MSMEG_0222	Fast
MSMEG_0223	Med-fast
MSMEG_0224	Med-fast
MSMEG_0225	Fast
MSMEG_0226	Fast
MSMEG_0227	Med-fast
MSMEG_0228	Fast
MSMEG_0229	Med-fast
MSMEG_0230	Fast
MSMEG_0231	Slow
MSMEG_0232	Med-slow
MSMEG_0233	Med-fast
MSMEG_0234	Slow
MSMEG_0235	Med-fast
MSMEG_0236	Med-fast
MSMEG_0237	Fast
MSMEG_0238	Med-fast
MSMEG_0239	Med-fast
MSMEG_0240	Med-fast
MSMEG_0241	Fast
MSMEG_0242	Med-fast
MSMEG_0243	Slow
MSMEG_0244	Slow
MSMEG_0245	Med-fast
MSMEG_0246	Slow
MSMEG_0247	Fast
MSMEG_0248	Med-fast
MSMEG_0249	Med-fast
MSMEG_0250	Med-fast
MSMEG_0251	Fast
MSMEG_0252	Fast
MSMEG_0253	Med-fast
MSMEG_0254	Med-fast
MSMEG_0255	Med-fast
MSMEG_0256	Med-fast
MSMEG_0259	Med-fast
MSMEG_0260	Med-fast
MSMEG_0261	Med-fast
MSMEG_0262	Fast
MSMEG_0263	Med-fast
MSMEG_0268	Med-fast
MSMEG_0269	Med-fast
MSMEG_0270	Slow
MSMEG_0271	Slow
MSMEG_0278	Slow
MSMEG_0280	Fast
MSMEG_0281	Slow
MSMEG_0282	Med-fast
MSMEG_0283	Med-fast
MSMEG_0284	Slow
MSMEG_0285	Med-slow
MSMEG_0286	Med-fast
MSMEG_0289	Med-slow
MSMEG_0290	Med-fast
MSMEG_0293	Med-fast
MSMEG_0294	Fast
MSMEG_0301	Med-fast
MSMEG_0302	Med-fast
MSMEG_0304	Med-fast
MSMEG_0305	Fast
MSMEG_0306	Med-slow
MSMEG_0307	Fast
MSMEG_0308	Med-fast
MSMEG_0309	Med-fast
MSMEG_0311	Med-fast
MSMEG_0313	Slow
MSMEG_0314	Med-fast
MSMEG_0315	Med-fast
MSMEG_0316	Slow
MSMEG_0317	Fast
MSMEG_0318	Med-fast
MSMEG_0319	Med-fast
MSMEG_0320	Med-fast
MSMEG_0321	Fast
MSMEG_0323	Med-fast
MSMEG_0326	Slow
MSMEG_0327	Slow
MSMEG_0329	Med-fast
MSMEG_0330	Fast
MSMEG_0332	Med-slow
MSMEG_0333	Med-fast
MSMEG_0340	Slow
MSMEG_0341	Fast
MSMEG_0342	Med-fast
MSMEG_0344	Med-fast
MSMEG_0345	Med-fast
MSMEG_0346	Med-fast
MSMEG_0347	Med-fast
MSMEG_0349	Slow
MSMEG_0354	Slow
MSMEG_0355	Slow
MSMEG_0356	Med-fast
MSMEG_0357	Slow
MSMEG_0358	Med-fast
MSMEG_0359	Slow
MSMEG_0360	Med-slow
MSMEG_0361	Med-fast
MSMEG_0362	Med-fast
MSMEG_0363	Med-fast
MSMEG_0364	Med-fast
MSMEG_0365	Fast
MSMEG_0366	Med-fast
MSMEG_0367	Med-slow
MSMEG_0368	Fast
MSMEG_0369	Fast
MSMEG_0371	Slow
MSMEG_0372	Slow
MSMEG_0373	Slow
MSMEG_0375	Med-fast
MSMEG_0376	Med-slow
MSMEG_0380	Fast
MSMEG_0381	Fast
MSMEG_0382	Slow
MSMEG_0383	Slow
MSMEG_0385	Fast
MSMEG_0386	Fast
MSMEG_0387	Fast
MSMEG_0388	Med-fast
MSMEG_0389	Med-fast
MSMEG_0390	Slow
MSMEG_0391	Med-fast
MSMEG_0392	Fast
MSMEG_0393	Med-fast
MSMEG_0397	Med-fast
MSMEG_0398	Med-fast
MSMEG_0399	Med-fast
MSMEG_0400	Slow
MSMEG_0406	Slow
MSMEG_0407	Med-slow
MSMEG_0409	Fast
MSMEG_0410	Med-fast
MSMEG_0413	Med-fast
MSMEG_0415	Med-fast
MSMEG_0416	Med-fast
MSMEG_0417	Med-fast
MSMEG_0418	Med-fast
MSMEG_0422	Med-fast
MSMEG_0423	Med-fast
MSMEG_0424	Slow
MSMEG_0425	Med-fast
MSMEG_0426	Med-fast
MSMEG_0427	Med-fast
MSMEG_0430	Slow
MSMEG_0432	Med-slow
MSMEG_0433	Slow
MSMEG_0434	Slow
MSMEG_0436	Slow
MSMEG_0437	Fast
MSMEG_0438	Med-fast
MSMEG_0439	Med-fast
MSMEG_0440	Slow
MSMEG_0441	Slow
MSMEG_0442	Med-fast
MSMEG_0443	Fast
MSMEG_0444	Med-fast
MSMEG_0445	Med-fast
MSMEG_0446	Slow
MSMEG_0447	Slow
MSMEG_0449	Med-fast
MSMEG_0451	Med-fast
MSMEG_0452	Slow
MSMEG_0453	Med-fast
MSMEG_0454	Med-slow
MSMEG_0455	Med-fast
MSMEG_0456	Med-fast
MSMEG_0457	Fast
MSMEG_0458	Med-fast
MSMEG_0459	Fast
MSMEG_0460	Med-slow
MSMEG_0461	Slow
MSMEG_0463	Med-fast
MSMEG_0464	Med-fast
MSMEG_0465	Med-fast
MSMEG_0466	Slow
MSMEG_0469	Med-fast
MSMEG_0470	Med-fast
MSMEG_0471	Med-slow
MSMEG_0474	Med-fast
MSMEG_0478	Med-slow
MSMEG_0479	Med-fast
MSMEG_0482	Fast
MSMEG_0484	Med-fast
MSMEG_0485	Med-fast
MSMEG_0490	Slow
MSMEG_0491	Fast
MSMEG_0492	Med-fast
MSMEG_0493	Slow
MSMEG_0497	Slow
MSMEG_0499	Med-fast
MSMEG_0500	Slow
MSMEG_0502	Med-fast
MSMEG_0503	Med-slow
MSMEG_0504	Med-fast
MSMEG_0505	Med-fast
MSMEG_0506	Med-fast
MSMEG_0508	Slow
MSMEG_0516	Slow
MSMEG_0517	Slow
MSMEG_0518	Slow
MSMEG_0519	Slow
MSMEG_0520	Slow
MSMEG_0523	Fast
MSMEG_0524	Slow
MSMEG_0526	Fast
MSMEG_0527	Slow
MSMEG_0528	Med-fast
MSMEG_0529	Fast
MSMEG_0530	Fast
MSMEG_0531	Slow
MSMEG_0533	Fast
MSMEG_0534	Fast
MSMEG_0536	Fast
MSMEG_0537	Fast
MSMEG_0538	Fast
MSMEG_0539	Fast
MSMEG_0540	Fast
MSMEG_0541	Fast
MSMEG_0542	Fast
MSMEG_0543	Fast
MSMEG_0544	Fast
MSMEG_0547	Med-fast
MSMEG_0548	Med-fast
MSMEG_0549	Med-fast
MSMEG_0550	Med-fast
MSMEG_0551	Fast
MSMEG_0552	Slow
MSMEG_0553	Fast
MSMEG_0554	Med-fast
MSMEG_0556	Med-fast
MSMEG_0558	Med-fast
MSMEG_0559	Med-fast
MSMEG_0560	Fast
MSMEG_0561	Med-fast
MSMEG_0562	Med-slow
MSMEG_0563	Med-fast
MSMEG_0564	Med-fast
MSMEG_0565	Med-slow
MSMEG_0566	Med-fast
MSMEG_0567	Slow
MSMEG_0576	Med-fast
MSMEG_0577	Slow
MSMEG_0578	Med-fast
MSMEG_0579	Med-fast
MSMEG_0580	Med-fast
MSMEG_0581	Med-fast
MSMEG_0582	Slow
MSMEG_0588	Slow
MSMEG_0590	Med-fast
MSMEG_0591	Slow
MSMEG_0592	Med-fast
MSMEG_0593	Med-fast
MSMEG_0594	Med-fast
MSMEG_0595	Fast
MSMEG_0596	Med-slow
MSMEG_0597	Fast
MSMEG_0598	Med-fast
MSMEG_0599	Med-fast
MSMEG_0600	Fast
MSMEG_0601	Med-fast
MSMEG_0602	Med-fast
MSMEG_0604	Fast
MSMEG_0605	Fast
MSMEG_0607	Med-slow
MSMEG_0608	Fast
MSMEG_0609	Fast
MSMEG_0612	Med-fast
MSMEG_0613	Med-fast
MSMEG_0614	Med-fast
MSMEG_0615	Med-fast
MSMEG_0616	Slow
MSMEG_0625	Fast
MSMEG_0627	Med-fast
MSMEG_0628	Med-fast
MSMEG_0629	Med-fast
MSMEG_0630	Fast
MSMEG_0632	Fast
MSMEG_0633	Med-fast
MSMEG_0634	Med-fast
MSMEG_0635	Fast
MSMEG_0636	Med-fast
MSMEG_0638	Fast
MSMEG_0641	Med-fast
MSMEG_0642	Med-fast
MSMEG_0643	Med-fast
MSMEG_0644	Fast
MSMEG_0645	Med-fast
MSMEG_0646	Med-fast
MSMEG_0649	Slow
MSMEG_0650	Med-slow
MSMEG_0652	Med-fast
MSMEG_0655	Slow
MSMEG_0656	Fast
MSMEG_0657	Fast
MSMEG_0660	Fast
MSMEG_0661	Med-slow
MSMEG_0662	Fast
MSMEG_0663	Med-fast
MSMEG_0664	Fast
MSMEG_0665	Med-slow
MSMEG_0666	Slow
MSMEG_0667	Med-fast
MSMEG_0668	Med-fast
MSMEG_0670	Slow
MSMEG_0672	Slow
MSMEG_0673	Slow
MSMEG_0674	Fast
MSMEG_0678	Med-fast
MSMEG_0679	Med-fast
MSMEG_0680	Fast
MSMEG_0681	Med-fast
MSMEG_0682	Med-fast
MSMEG_0683	Med-fast
MSMEG_0686	Med-fast
MSMEG_0687	Med-fast
MSMEG_0688	Med-fast
MSMEG_0690	Med-fast
MSMEG_0691	Slow
MSMEG_0692	Fast
MSMEG_0693	Med-fast
MSMEG_0695	Slow
MSMEG_0698	Med-fast
MSMEG_0699	Med-fast
MSMEG_0700	Med-fast
MSMEG_0701	Slow
MSMEG_0702	Slow
MSMEG_0703	Med-fast
MSMEG_0704	Fast
MSMEG_0705	Med-fast
MSMEG_0706	Fast
MSMEG_0708	Med-slow
MSMEG_0709	Slow
MSMEG_0712	Med-fast
MSMEG_0717	Fast
MSMEG_0718	Med-fast
MSMEG_0719	Med-fast
MSMEG_0723	Fast
MSMEG_0724	Fast
MSMEG_0726	Med-fast
MSMEG_0727	Fast
MSMEG_0728	Med-fast
MSMEG_0729	Fast
MSMEG_0730	Fast
MSMEG_0731	Med-slow
MSMEG_0732	Slow
MSMEG_0733	Med-fast
MSMEG_0735	Med-fast
MSMEG_0736	Fast
MSMEG_0737	Fast
MSMEG_0738	Med-fast
MSMEG_0739	Med-fast
MSMEG_0740	Med-fast
MSMEG_0742	Med-fast
MSMEG_0743	Med-slow
MSMEG_0744	Slow
MSMEG_0746	Med-fast
MSMEG_0748	Med-fast
MSMEG_0750	Fast
MSMEG_0752	Fast
MSMEG_0753	Fast
MSMEG_0754	Fast
MSMEG_0755	Med-fast
MSMEG_0756	Med-fast
MSMEG_0757	Med-fast
MSMEG_0758	Fast
MSMEG_0759	Fast
MSMEG_0760	Fast
MSMEG_0761	Med-fast
MSMEG_0762	Slow
MSMEG_0763	Slow
MSMEG_0764	Med-fast
MSMEG_0765	Fast
MSMEG_0766	Med-fast
MSMEG_0767	Fast
MSMEG_0768	Fast
MSMEG_0769	Med-fast
MSMEG_0770	Med-fast
MSMEG_0771	Med-fast
MSMEG_0773	Med-fast
MSMEG_0775	Med-fast
MSMEG_0776	Fast
MSMEG_0777	Slow
MSMEG_0778	Slow
MSMEG_0781	Slow
MSMEG_0782	Med-fast
MSMEG_0783	Med-fast
MSMEG_0784	Fast
MSMEG_0786	Med-fast
MSMEG_0787	Fast
MSMEG_0788	Fast
MSMEG_0789	Med-fast
MSMEG_0790	Med-fast
MSMEG_0791	Med-fast
MSMEG_0792	Fast
MSMEG_0793	Med-fast
MSMEG_0794	Med-fast
MSMEG_0795	Slow
MSMEG_0796	Slow
MSMEG_0798	Slow
MSMEG_0800	Slow
MSMEG_0801	Med-fast
MSMEG_0802	Med-fast
MSMEG_0803	Med-fast
MSMEG_0806	Med-fast
MSMEG_0807	Fast
MSMEG_0810	Med-fast
MSMEG_0811	Slow
MSMEG_0812	Med-fast
MSMEG_0813	Med-fast
MSMEG_0814	Slow
MSMEG_0815	Fast
MSMEG_0816	Med-slow
MSMEG_0818	Fast
MSMEG_0819	Med-fast
MSMEG_0820	Slow
MSMEG_0821	Med-fast
MSMEG_0822	Slow
MSMEG_0823	Slow
MSMEG_0824	Med-fast
MSMEG_0825	Med-fast
MSMEG_0826	Med-fast
MSMEG_0827	Med-fast
MSMEG_0828	Med-fast
MSMEG_0829	Fast
MSMEG_0830	Med-fast
MSMEG_0832	Med-fast
MSMEG_0833	Fast
MSMEG_0834	Fast
MSMEG_0835	Med-fast
MSMEG_0836	Med-fast
MSMEG_0837	Med-fast
MSMEG_0838	Med-fast
MSMEG_0839	Fast
MSMEG_0840	Slow
MSMEG_0846	Slow
MSMEG_0847	Med-fast
MSMEG_0848	Fast
MSMEG_0849	Med-fast
MSMEG_0850	Med-fast
MSMEG_0851	Fast
MSMEG_0852	Slow
MSMEG_0855	Med-fast
MSMEG_0858	Med-fast
MSMEG_0859	Med-fast
MSMEG_0860	Med-fast
MSMEG_0861	Med-fast
MSMEG_0862	Med-fast
MSMEG_0863	Med-fast
MSMEG_0864	Med-fast
MSMEG_0865	Med-fast
MSMEG_0866	Fast
MSMEG_0867	Med-fast
MSMEG_0870	Slow
MSMEG_0874	Med-slow
MSMEG_0875	Fast
MSMEG_0876	Med-fast
MSMEG_0877	Med-fast
MSMEG_0878	Med-fast
MSMEG_0880	Slow
MSMEG_0881	Med-fast
MSMEG_0882	Fast
MSMEG_0883	Med-slow
MSMEG_0884	Fast
MSMEG_0885	Med-slow
MSMEG_0886	Med-slow
MSMEG_0888	Slow
MSMEG_0889	Med-fast
MSMEG_0890	Fast
MSMEG_0891	Fast
MSMEG_0892	Fast
MSMEG_0894	Med-fast
MSMEG_0895	Med-fast
MSMEG_0897	Med-fast
MSMEG_0899	Fast
MSMEG_0900	Slow
MSMEG_0901	Med-slow
MSMEG_0902	Med-fast
MSMEG_0903	Slow
MSMEG_0904	Med-fast
MSMEG_0905	Fast
MSMEG_0906	Fast
MSMEG_0908	Med-fast
MSMEG_0909	Fast
MSMEG_0911	Slow
MSMEG_0912	Slow
MSMEG_0913	Med-fast
MSMEG_0914	Med-fast
MSMEG_0915	Med-slow
MSMEG_0916	Fast
MSMEG_0917	Fast
MSMEG_0918	Med-fast
MSMEG_0919	Slow
MSMEG_0920	Fast
MSMEG_0921	Med-fast
MSMEG_0922	Med-fast
MSMEG_0923	Fast
MSMEG_0924	Fast
MSMEG_0925	Med-fast
MSMEG_0926	Med-fast
MSMEG_0927	Slow
MSMEG_0928	Med-fast
MSMEG_0929	Fast
MSMEG_0930	Med-fast
MSMEG_0932	Fast
MSMEG_0933	Med-slow
MSMEG_0934	Fast
MSMEG_0935	Med-fast
MSMEG_0936	Med-fast
MSMEG_0937	Med-fast
MSMEG_0938	Fast
MSMEG_0939	Fast
MSMEG_0940	Fast
MSMEG_0941	Fast
MSMEG_0942	Med-fast
MSMEG_0943	Med-fast
MSMEG_0944	Med-fast
MSMEG_0945	Med-fast
MSMEG_0946	Med-fast
MSMEG_0947	Med-fast
MSMEG_0948	Fast
MSMEG_0949	Fast
MSMEG_0950	Fast
MSMEG_0951	Med-fast
MSMEG_0952	Fast
MSMEG_0953	Fast
MSMEG_0954	Med-fast
MSMEG_0956	Slow
MSMEG_0957	Slow
MSMEG_0958	Slow
MSMEG_0959	Med-fast
MSMEG_0960	Med-fast
MSMEG_0962	Fast
MSMEG_0964	Med-fast
MSMEG_0965	Slow
MSMEG_0968	Slow
MSMEG_0969	Med-fast
MSMEG_0970	Med-fast
MSMEG_0971	Fast
MSMEG_0972	Med-slow
MSMEG_0973	Slow
MSMEG_0975	Slow
MSMEG_0977	Med-fast
MSMEG_0978	Med-fast
MSMEG_0979	Fast
MSMEG_0982	Med-slow
MSMEG_0983	Fast
MSMEG_0984	Med-fast
MSMEG_0985	Fast
MSMEG_0986	Med-fast
MSMEG_0987	Slow
MSMEG_0988	Fast
MSMEG_0989	Fast
MSMEG_0990	Med-fast
MSMEG_0991	Med-fast
MSMEG_0992	Med-fast
MSMEG_0993	Med-fast
MSMEG_0994	Med-fast
MSMEG_0995	Slow
MSMEG_0996	Slow
MSMEG_0997	Med-fast
MSMEG_0998	Med-fast
MSMEG_0999	Fast
MSMEG_1001	Slow
MSMEG_1002	Med-fast
MSMEG_1003	Fast
MSMEG_1004	Med-fast
MSMEG_1005	Slow
MSMEG_1006	Med-fast
MSMEG_1007	Med-fast
MSMEG_1008	Med-slow
MSMEG_1009	Med-fast
MSMEG_1010	Fast
MSMEG_1011	Med-fast
MSMEG_1012	Med-fast
MSMEG_1013	Med-fast
MSMEG_1014	Fast
MSMEG_1015	Med-slow
MSMEG_1016	Slow
MSMEG_1017	Med-fast
MSMEG_1019	Med-fast
MSMEG_1023	Med-fast
MSMEG_1024	Med-fast
MSMEG_1026	Med-fast
MSMEG_1027	Med-fast
MSMEG_1028	Med-fast
MSMEG_1029	Med-slow
MSMEG_1030	Med-fast
MSMEG_1031	Med-fast
MSMEG_1032	Med-fast
MSMEG_1033	Med-fast
MSMEG_1034	Med-fast
MSMEG_1035	Med-fast
MSMEG_1037	Med-fast
MSMEG_1038	Med-fast
MSMEG_1039	Med-fast
MSMEG_1041	Med-fast
MSMEG_1042	Med-fast
MSMEG_1043	Med-fast
MSMEG_1045	Med-fast
MSMEG_1046	Med-fast
MSMEG_1047	Fast
MSMEG_1048	Fast
MSMEG_1049	Med-fast
MSMEG_1050	Med-fast
MSMEG_1051	Med-fast
MSMEG_1052	Med-fast
MSMEG_1053	Med-fast
MSMEG_1055	Med-fast
MSMEG_1057	Med-fast
MSMEG_1058	Med-fast
MSMEG_1059	Med-fast
MSMEG_1060	Slow
MSMEG_1061	Fast
MSMEG_1062	Fast
MSMEG_1063	Fast
MSMEG_1064	Fast
MSMEG_1065	Fast
MSMEG_1066	Fast
MSMEG_1067	Med-fast
MSMEG_1068	Med-fast
MSMEG_1071	Slow
MSMEG_1073	Med-fast
MSMEG_1074	Med-fast
MSMEG_1075	Slow
MSMEG_1077	Med-fast
MSMEG_1078	Fast
MSMEG_1080	Med-slow
MSMEG_1082	Med-slow
MSMEG_1083	Fast
MSMEG_1088	Med-fast
MSMEG_1094	Slow
MSMEG_1096	Slow
MSMEG_1098	Med-slow
MSMEG_1100	Med-slow
MSMEG_1101	Med-fast
MSMEG_1102	Fast
MSMEG_1103	Med-fast
MSMEG_1106	Med-fast
MSMEG_1108	Med-fast
MSMEG_1109	Med-fast
MSMEG_1110	Med-fast
MSMEG_1111	Fast
MSMEG_1114	Med-fast
MSMEG_1115	Med-fast
MSMEG_1116	Slow
MSMEG_1117	Fast
MSMEG_1118	Fast
MSMEG_1119	Med-fast
MSMEG_1120	Slow
MSMEG_1122	Fast
MSMEG_1123	Slow
MSMEG_1127	Med-fast
MSMEG_1130	Fast
MSMEG_1132	Med-fast
MSMEG_1133	Med-fast
MSMEG_1134	Med-fast
MSMEG_1136	Med-fast
MSMEG_1137	Slow
MSMEG_1138	Med-fast
MSMEG_1139	Med-fast
MSMEG_1140	Med-fast
MSMEG_1141	Med-fast
MSMEG_1143	Fast
MSMEG_1144	Slow
MSMEG_1145	Slow
MSMEG_1146	Slow
MSMEG_1150	Slow
MSMEG_1151	Med-slow
MSMEG_1152	Slow
MSMEG_1156	Slow
MSMEG_1163	Med-slow
MSMEG_1165	Med-fast
MSMEG_1167	Med-fast
MSMEG_1169	Med-slow
MSMEG_1172	Fast
MSMEG_1173	Med-slow
MSMEG_1174	Slow
MSMEG_1175	Fast
MSMEG_1176	Fast
MSMEG_1177	Med-fast
MSMEG_1178	Med-fast
MSMEG_1179	Med-fast
MSMEG_1180	Med-fast
MSMEG_1181	Slow
MSMEG_1182	Med-fast
MSMEG_1184	Slow
MSMEG_1185	Fast
MSMEG_1186	Med-slow
MSMEG_1187	Slow
MSMEG_1188	Med-slow
MSMEG_1189	Med-fast
MSMEG_1190	Fast
MSMEG_1191	Med-fast
MSMEG_1192	Slow
MSMEG_1193	Slow
MSMEG_1195	Med-fast
MSMEG_1196	Fast
MSMEG_1199	Med-fast
MSMEG_1200	Fast
MSMEG_1204	Fast
MSMEG_1209	Med-fast
MSMEG_1210	Fast
MSMEG_1211	Fast
MSMEG_1213	Med-fast
MSMEG_1214	Med-fast
MSMEG_1215	Med-fast
MSMEG_1217	Med-fast
MSMEG_1218	Fast
MSMEG_1220	Med-fast
MSMEG_1221	Fast
MSMEG_1222	Med-fast
MSMEG_1225	Med-fast
MSMEG_1226	Slow
MSMEG_1227	Fast
MSMEG_1228	Slow
MSMEG_1229	Med-fast
MSMEG_1238	Med-fast
MSMEG_1239	Med-slow
MSMEG_1240	Slow
MSMEG_1241	Slow
MSMEG_1242	Fast
MSMEG_1243	Fast
MSMEG_1244	Slow
MSMEG_1250	Med-fast
MSMEG_1251	Fast
MSMEG_1252	Med-fast
MSMEG_1255	Med-slow
MSMEG_1256	Slow
MSMEG_1257	Med-fast
MSMEG_1258	Med-fast
MSMEG_1260	Fast
MSMEG_1261	Fast
MSMEG_1262	Fast
MSMEG_1264	Slow
MSMEG_1265	Med-fast
MSMEG_1268	Med-fast
MSMEG_1269	Fast
MSMEG_1272	Med-fast
MSMEG_1275	Med-fast
MSMEG_1277	Fast
MSMEG_1278	Fast
MSMEG_1279	Med-fast
MSMEG_1280	Med-fast
MSMEG_1281	Slow
MSMEG_1283	Med-fast
MSMEG_1284	Med-fast
MSMEG_1285	Med-fast
MSMEG_1286	Fast
MSMEG_1287	Med-fast
MSMEG_1288	Fast
MSMEG_1289	Med-slow
MSMEG_1290	Slow
MSMEG_1291	Med-fast
MSMEG_1292	Med-slow
MSMEG_1293	Fast
MSMEG_1294	Fast
MSMEG_1295	Med-fast
MSMEG_1296	Med-fast
MSMEG_1297	Slow
MSMEG_1298	Slow
MSMEG_1299	Slow
MSMEG_1303	Med-slow
MSMEG_1305	Fast
MSMEG_1310	Med-fast
MSMEG_1311	Med-fast
MSMEG_1312	Slow
MSMEG_1313	Med-fast
MSMEG_1314	Fast
MSMEG_1315	Med-fast
MSMEG_1316	Fast
MSMEG_1317	Med-fast
MSMEG_1318	Fast
MSMEG_1320	Slow
MSMEG_1321	Fast
MSMEG_1322	Fast
MSMEG_1323	Fast
MSMEG_1328	Fast
MSMEG_1329	Fast
MSMEG_1330	Med-fast
MSMEG_1331	Med-fast
MSMEG_1332	Fast
MSMEG_1333	Med-fast
MSMEG_1334	Med-fast
MSMEG_1335	Slow
MSMEG_1339	Fast
MSMEG_1340	Fast
MSMEG_1341	Fast
MSMEG_1342	Fast
MSMEG_1344	Fast
MSMEG_1345	Med-fast
MSMEG_1346	Slow
MSMEG_1347	Slow
MSMEG_1348	Fast
MSMEG_1349	Fast
MSMEG_1350	Fast
MSMEG_1351	Fast
MSMEG_1352	Fast
MSMEG_1353	Fast
MSMEG_1355	Med-fast
MSMEG_1356	Slow
MSMEG_1358	Med-slow
MSMEG_1359	Med-slow
MSMEG_1360	Med-fast
MSMEG_1361	Slow
MSMEG_1363	Med-fast
MSMEG_1364	Slow
MSMEG_1366	Med-fast
MSMEG_1367	Med-fast
MSMEG_1369	Med-slow
MSMEG_1370	Med-fast
MSMEG_1372	Med-fast
MSMEG_1374	Slow
MSMEG_1375	Med-fast
MSMEG_1376	Med-fast
MSMEG_1377	Med-fast
MSMEG_1378	Med-fast
MSMEG_1379	Med-fast
MSMEG_1382	Med-fast
MSMEG_1383	Med-fast
MSMEG_1385	Fast
MSMEG_1386	Fast
MSMEG_1387	Slow
MSMEG_1388	Med-fast
MSMEG_1389	Med-fast
