 	transcript_5p20nt_Avg_First5nt_UnpairedProb
MSMEG_0533	NA
MSMEG_0534	NA
MSMEG_0535	NA
MSMEG_0536	NA
MSMEG_0537	0.9501
MSMEG_0538	0.4971
MSMEG_0539	0.9887
MSMEG_0540	0.9493
MSMEG_0541	0.6427
MSMEG_0542	NA
MSMEG_0543	NA
MSMEG_0544	0.0287
MSMEG_0545	0.5001
MSMEG_0546	0.3551
MSMEG_0547	0.0012
MSMEG_0548	0.4813
MSMEG_0549	0.5872
MSMEG_0550	NA
MSMEG_0551	0.9265
MSMEG_0552	NA
MSMEG_0553	NA
MSMEG_0554	NA
MSMEG_0555	NA
MSMEG_0556	NA
MSMEG_0557	0.7621
MSMEG_0558	NA
MSMEG_0559	0.4062
MSMEG_0560	0.2125
MSMEG_0561	0.4893
MSMEG_0562	NA
MSMEG_0563	0.4009
MSMEG_0564	0.6241
MSMEG_0565	NA
MSMEG_0566	0.4220
MSMEG_0567	NA
MSMEG_0568	NA
MSMEG_0569	NA
MSMEG_0570	NA
MSMEG_0571	NA
MSMEG_0572	0.0525
MSMEG_0573	NA
MSMEG_0574	0.2397
MSMEG_0575	0.8684
MSMEG_0576	NA
MSMEG_0577	NA
MSMEG_0578	0.5335
MSMEG_0579	NA
MSMEG_0580	0.8972
MSMEG_0581	0.9968
MSMEG_0582	NA
MSMEG_0583	0.9885
MSMEG_0584	NA
MSMEG_0585	NA
MSMEG_0586	0.6398
MSMEG_0587	NA
MSMEG_0588	NA
MSMEG_0589	NA
MSMEG_0590	NA
MSMEG_0591	NA
MSMEG_0592	0.6236
MSMEG_0593	NA
MSMEG_0594	NA
MSMEG_0595	0.5484
MSMEG_0596	0.7303
MSMEG_0597	NA
MSMEG_0598	0.6227
MSMEG_0599	0.9947
MSMEG_0600	0.4135
MSMEG_0601	NA
MSMEG_0602	0.4062
MSMEG_0603	0.6731
MSMEG_0604	NA
MSMEG_0605	0.8185
MSMEG_0606	0.7135
MSMEG_0607	0.5646
MSMEG_0608	0.2763
MSMEG_0609	0.4351
MSMEG_0610	NA
MSMEG_0611	NA
MSMEG_0612	0.3350
MSMEG_0613	NA
MSMEG_0614	0.4871
MSMEG_0615	0.5002
MSMEG_0616	NA
MSMEG_0617	NA
MSMEG_0618	NA
MSMEG_0619	NA
MSMEG_0620	NA
MSMEG_0621	NA
MSMEG_0622	NA
MSMEG_0623	0.9071
MSMEG_0624	NA
MSMEG_0625	0.1441
MSMEG_0626	NA
MSMEG_0627	NA
MSMEG_0628	NA
MSMEG_0629	0.5161
MSMEG_0630	NA
MSMEG_0632	0.4559
MSMEG_0633	0.5719
MSMEG_0634	0.2495
MSMEG_0635	0.3502
MSMEG_0636	0.4268
MSMEG_0637	NA
MSMEG_0638	0.8741
MSMEG_0639	NA
MSMEG_0640	NA
MSMEG_0641	0.2787
MSMEG_0642	NA
MSMEG_0643	0.9721
MSMEG_0644	NA
MSMEG_0645	0.4285
MSMEG_0646	NA
MSMEG_0647	NA
MSMEG_0648	NA
MSMEG_0649	NA
MSMEG_0650	NA
MSMEG_0651	NA
MSMEG_0652	NA
MSMEG_0654	NA
MSMEG_0655	NA
MSMEG_0656	0.8158
MSMEG_0657	NA
MSMEG_0658	NA
MSMEG_0659	NA
MSMEG_0660	0.4318
MSMEG_0661	0.9971
MSMEG_0662	0.8197
MSMEG_0663	0.3182
MSMEG_0664	NA
MSMEG_0665	NA
MSMEG_0666	NA
MSMEG_0667	0.9450
MSMEG_0668	0.3734
MSMEG_0669	NA
MSMEG_0670	NA
MSMEG_0671	0.4142
MSMEG_0672	NA
MSMEG_0673	0.0505
MSMEG_0674	0.8658
MSMEG_0675	NA
MSMEG_0676	0.5860
MSMEG_0678	0.9307
MSMEG_0679	0.2317
MSMEG_0680	NA
MSMEG_0681	NA
MSMEG_0682	0.2231
MSMEG_0683	0.8374
MSMEG_0684	NA
MSMEG_0685	NA
MSMEG_0686	NA
MSMEG_0687	NA
MSMEG_0688	NA
MSMEG_0689	0.9856
MSMEG_0690	0.8714
MSMEG_0691	NA
MSMEG_0692	0.7265
MSMEG_0693	NA
MSMEG_0695	NA
MSMEG_0696	NA
MSMEG_0697	NA
MSMEG_0698	0.8410
MSMEG_0699	NA
MSMEG_0700	0.7509
MSMEG_0701	NA
MSMEG_0702	0.2903
MSMEG_0703	0.4673
MSMEG_0704	0.9894
MSMEG_0705	NA
MSMEG_0706	NA
MSMEG_0707	NA
MSMEG_0708	NA
MSMEG_0709	0.8320
MSMEG_0710	NA
MSMEG_0711	0.9539
MSMEG_0712	0.9955
MSMEG_0713	NA
MSMEG_0714	NA
MSMEG_0715	NA
MSMEG_0716	0.9587
MSMEG_0717	0.2946
MSMEG_0718	NA
MSMEG_0719	0.9726
MSMEG_0720	NA
MSMEG_0722	0.5525
MSMEG_0723	NA
MSMEG_0724	0.9226
MSMEG_0725	NA
MSMEG_0726	0.9498
MSMEG_0727	NA
MSMEG_0728	0.9981
MSMEG_0729	NA
MSMEG_0730	NA
MSMEG_0731	0.4668
MSMEG_0732	0.9110
MSMEG_0733	NA
MSMEG_0734	0.8808
MSMEG_0735	0.8955
MSMEG_0736	0.6493
MSMEG_0737	NA
MSMEG_0738	NA
MSMEG_0739	0.6952
MSMEG_0740	0.9542
MSMEG_0741	NA
MSMEG_0742	0.3813
MSMEG_0743	NA
MSMEG_0744	NA
MSMEG_0745	NA
MSMEG_0746	NA
MSMEG_0747	NA
MSMEG_0748	NA
MSMEG_0749	NA
MSMEG_0750	0.4260
MSMEG_0751	NA
MSMEG_0752	0.9276
MSMEG_0753	0.9874
MSMEG_0754	0.4947
MSMEG_0755	NA
MSMEG_0756	0.2441
MSMEG_0757	NA
MSMEG_0758	0.7702
MSMEG_0759	0.2720
MSMEG_0760	NA
MSMEG_0761	0.7587
MSMEG_0762	0.9962
MSMEG_0763	NA
MSMEG_0764	0.6162
MSMEG_0765	0.7539
MSMEG_0766	0.2143
MSMEG_0767	NA
MSMEG_0768	0.8957
MSMEG_0769	NA
MSMEG_0770	NA
MSMEG_0771	NA
MSMEG_0772	NA
MSMEG_0773	NA
MSMEG_0775	0.4004
MSMEG_0776	0.7861
MSMEG_0777	NA
MSMEG_0778	NA
MSMEG_0779	NA
MSMEG_0780	NA
MSMEG_0781	0.5142
MSMEG_0782	NA
MSMEG_0783	NA
MSMEG_0784	NA
MSMEG_0785	NA
MSMEG_0786	NA
MSMEG_0787	0.8315
MSMEG_0788	0.5019
MSMEG_0789	0.3924
MSMEG_0790	0.4862
MSMEG_0791	0.9212
MSMEG_0792	NA
MSMEG_0793	NA
MSMEG_0794	NA
MSMEG_0795	NA
MSMEG_0796	0.4419
MSMEG_0798	0.1351
MSMEG_0799	0.3297
MSMEG_0800	NA
MSMEG_0801	0.0522
MSMEG_0802	NA
MSMEG_0803	0.9933
MSMEG_0804	NA
MSMEG_0805	NA
MSMEG_0806	0.0882
MSMEG_0807	0.0283
MSMEG_0808	NA
MSMEG_0809	NA
MSMEG_0810	0.8865
MSMEG_0811	NA
MSMEG_0812	0.5881
MSMEG_0813	NA
MSMEG_0814	0.4035
MSMEG_0815	NA
MSMEG_0816	0.3860
MSMEG_0817	NA
MSMEG_0818	0.9398
MSMEG_0819	NA
MSMEG_0820	NA
MSMEG_0821	NA
MSMEG_0822	NA
MSMEG_0823	NA
MSMEG_0824	NA
MSMEG_0825	0.7423
MSMEG_0826	0.6431
MSMEG_0827	NA
MSMEG_0828	0.5381
MSMEG_0829	NA
MSMEG_0830	NA
MSMEG_0831	NA
MSMEG_0832	0.5582
MSMEG_0833	0.9260
MSMEG_0834	NA
MSMEG_0835	0.1691
MSMEG_0836	NA
MSMEG_0837	NA
MSMEG_0838	0.8130
MSMEG_0839	0.6037
MSMEG_0840	0.5085
MSMEG_0842	0.9394
MSMEG_0843	NA
MSMEG_0844	0.4979
MSMEG_0845	NA
MSMEG_0846	NA
MSMEG_0847	NA
MSMEG_0848	NA
MSMEG_0849	0.9927
MSMEG_0850	NA
MSMEG_0851	NA
MSMEG_0852	NA
MSMEG_0853	NA
MSMEG_0854	0.4997
MSMEG_0855	0.7921
MSMEG_0856	NA
MSMEG_0857	0.5537
MSMEG_0858	NA
MSMEG_0859	0.5359
MSMEG_0860	NA
MSMEG_0861	0.4895
MSMEG_0862	0.7622
MSMEG_0863	NA
MSMEG_0864	NA
MSMEG_0865	NA
MSMEG_0866	0.6817
MSMEG_0867	NA
MSMEG_0868	NA
MSMEG_0869	NA
MSMEG_0870	NA
MSMEG_0871	NA
MSMEG_0872	NA
MSMEG_0873	NA
MSMEG_0874	NA
MSMEG_0875	NA
MSMEG_0876	0.4049
MSMEG_0877	0.5902
MSMEG_0878	NA
MSMEG_0879	NA
MSMEG_0880	0.6450
MSMEG_0881	NA
MSMEG_0882	NA
MSMEG_0883	NA
MSMEG_0884	0.3207
MSMEG_0885	NA
MSMEG_0886	0.3348
MSMEG_0887	0.9326
MSMEG_0888	NA
MSMEG_0889	0.7883
MSMEG_0890	0.8175
MSMEG_0891	NA
MSMEG_0892	0.9879
MSMEG_0893	NA
MSMEG_0894	0.5877
MSMEG_0895	0.6945
MSMEG_0896	0.9916
MSMEG_0897	NA
MSMEG_0898	NA
MSMEG_0899	NA
MSMEG_0900	0.9497
MSMEG_0901	0.7479
MSMEG_0902	NA
MSMEG_0903	0.6618
MSMEG_0904	NA
MSMEG_0905	NA
MSMEG_0906	0.6155
MSMEG_0907	NA
MSMEG_0908	NA
MSMEG_0909	0.2303
MSMEG_0910	NA
MSMEG_0911	0.5284
MSMEG_0912	0.6795
MSMEG_0913	0.4181
MSMEG_0914	NA
MSMEG_0915	0.3911
MSMEG_0916	0.7606
MSMEG_0917	0.9796
MSMEG_0918	0.9732
MSMEG_0919	0.7699
MSMEG_0920	0.8872
MSMEG_0921	NA
MSMEG_0922	NA
MSMEG_0923	0.4885
MSMEG_0924	NA
MSMEG_0925	NA
MSMEG_0926	NA
MSMEG_0927	NA
MSMEG_0928	0.3562
MSMEG_0929	0.6903
MSMEG_0930	0.8597
MSMEG_0931	NA
MSMEG_0932	0.4291
MSMEG_0933	0.5277
MSMEG_0934	NA
MSMEG_0935	0.5427
MSMEG_0936	0.5660
MSMEG_0937	NA
MSMEG_0938	0.4671
MSMEG_0939	0.1130
MSMEG_0940	0.5504
MSMEG_0941	0.2860
MSMEG_0942	0.2092
MSMEG_0943	0.3191
MSMEG_0944	0.7986
MSMEG_0945	0.5568
MSMEG_0946	NA
MSMEG_0947	0.1333
MSMEG_0948	0.4234
MSMEG_0949	0.6183
MSMEG_0950	NA
MSMEG_0951	0.3974
MSMEG_0952	0.2962
MSMEG_0953	NA
MSMEG_0954	NA
MSMEG_0955	NA
MSMEG_0956	NA
MSMEG_0957	NA
MSMEG_0958	NA
MSMEG_0959	NA
MSMEG_0960	NA
MSMEG_0962	0.7035
MSMEG_0963	NA
MSMEG_0964	0.8665
MSMEG_0965	0.4017
MSMEG_0966	NA
MSMEG_0967	NA
MSMEG_0968	NA
MSMEG_0969	NA
MSMEG_0970	NA
MSMEG_0971	NA
MSMEG_0972	0.9451
MSMEG_0973	NA
MSMEG_0974	0.9873
MSMEG_0975	0.4248
MSMEG_0976	0.8792
MSMEG_0977	0.7957
MSMEG_0978	NA
MSMEG_0979	NA
MSMEG_0980	NA
MSMEG_0981	NA
MSMEG_0982	0.7453
MSMEG_0983	NA
MSMEG_0984	NA
MSMEG_0985	0.4102
MSMEG_0986	0.9147
MSMEG_0987	0.6939
MSMEG_0988	0.3312
MSMEG_0989	NA
MSMEG_0990	0.5355
MSMEG_0991	0.4271
MSMEG_0992	NA
MSMEG_0993	NA
MSMEG_0994	NA
MSMEG_0995	NA
MSMEG_0996	NA
MSMEG_0997	NA
MSMEG_0998	NA
MSMEG_0999	0.7629
MSMEG_1000	NA
MSMEG_1001	NA
MSMEG_1002	0.0522
MSMEG_1003	0.9612
MSMEG_1004	NA
MSMEG_1005	0.9210
MSMEG_1006	NA
MSMEG_1007	0.4762
MSMEG_1008	0.5593
MSMEG_1009	NA
MSMEG_1010	0.9603
MSMEG_1011	NA
MSMEG_1012	0.7015
MSMEG_1013	NA
MSMEG_1014	NA
MSMEG_1015	NA
MSMEG_1016	NA
MSMEG_1017	0.6804
MSMEG_1019	0.4877
MSMEG_1021	NA
MSMEG_1022	NA
MSMEG_1023	0.9642
MSMEG_1024	NA
MSMEG_1025	0.4831
MSMEG_1026	NA
MSMEG_1027	0.7473
MSMEG_1028	0.8171
MSMEG_1029	0.5828
MSMEG_1030	0.7930
MSMEG_1031	NA
MSMEG_1032	NA
MSMEG_1033	0.5735
MSMEG_1034	0.4810
MSMEG_1035	NA
MSMEG_1037	0.6016
MSMEG_1038	0.4650
MSMEG_1039	0.5872
MSMEG_1041	NA
MSMEG_1042	0.6521
MSMEG_1043	NA
MSMEG_1044	NA
MSMEG_1045	NA
MSMEG_1046	0.7567
MSMEG_1047	NA
MSMEG_1048	NA
MSMEG_1049	0.7936
MSMEG_1050	NA
MSMEG_1051	0.9999
MSMEG_1052	0.4870
MSMEG_1053	0.9527
MSMEG_1054	NA
MSMEG_1055	NA
MSMEG_1057	NA
MSMEG_1058	0.0522
MSMEG_1059	NA
MSMEG_1060	0.9931
MSMEG_1061	0.8674
MSMEG_1062	0.2006
MSMEG_1063	0.7989
MSMEG_1064	NA
MSMEG_1065	0.9652
MSMEG_1066	NA
MSMEG_1067	0.6389
MSMEG_1068	0.4288
MSMEG_1069	NA
MSMEG_1070	NA
MSMEG_1071	NA
MSMEG_1072	NA
MSMEG_1073	0.7756
MSMEG_1074	0.9796
MSMEG_1075	0.4454
MSMEG_1076	0.9757
MSMEG_1077	0.4528
MSMEG_1078	NA
MSMEG_1079	NA
MSMEG_1080	NA
MSMEG_1081	NA
MSMEG_1082	0.9834
MSMEG_1083	NA
MSMEG_1084	NA
MSMEG_1085	NA
MSMEG_1086	NA
MSMEG_1088	NA
MSMEG_1089	0.4036
MSMEG_1090	NA
MSMEG_1091	NA
MSMEG_1092	NA
MSMEG_1093	NA
MSMEG_1094	NA
MSMEG_1095	NA
MSMEG_1096	NA
MSMEG_1097	NA
MSMEG_1098	0.8463
MSMEG_1099	NA
MSMEG_1100	NA
MSMEG_1101	NA
MSMEG_1102	NA
MSMEG_1103	0.9514
MSMEG_1104	NA
MSMEG_1106	NA
MSMEG_1107	NA
MSMEG_1108	NA
